New URI	URI	Current	Canonical Name	Syriac Canonical	Name Variant 1	Name Variant 2	Name Variant 1_SYR	Sex	Office	Source 1	page	Source 2	Section	Birth	Death	Floruit	Wikipedia	Other references
2274		/EphremAmida	Ephrem of Amida	ܐܦܪܝܡ ܐܡܕܝܐ	Ephraim			M	Patriarch of Antioch	bibl633-1	12	bibl633-2	97			May 526	https://en.wikipedia.org/wiki/Ephraim_of_Antioch	Ephraemius: PLRE II 394-96
2275		/Eulogios	Eulogios	ܐܘܠܓܝܣ	Mar Eulogios			M	Bishop of Edessa	bibl633-1	5	bibl633-2	34				https://en.wikipedia.org/wiki/Eulogius_of_Edessa	
2276		/Eulogios								bibl633-1	5	bibl633-2	37		4/23/0387			
2277		/Euphemius	Euphemios	ܐܘܦܝܡܝܣ	Euphemius			M	Bishop of Constantinople	bibl633-1	9	bibl633-2	77			498/9	https://en.wikipedia.org/wiki/Euphemius_of_Constantinople	
2278		/EuphrasiusAntioch	Euphrasios	ܐܘܦܪܣ	Euphrasius			M	Patriarch of Antioch	bibl633-1	11	bibl633-2	92				https://en.wikipedia.org/wiki/Euphrasius_of_Antioch	
2279		/EuphrasiusAntioch								bibl633-1	12	bibl633-2	97		5/29/0526			
2280		/EusebiusDorylaeum	Eusebius of Dorylaeum	ܐܘܣܒܝܣ ܕܕܐܘܪܠܝܘܢ				M		bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Eusebius_of_Dorylaeum	Eusebius 15: PLRE II 430-31
2281		/Fl.Patricius14PLREII840	Patricius	ܦܛܪܝܩ				M		bibl633-1	10	bibl633-2	89			early 6th century	https://en.wikipedia.org/wiki/Patricius_(consul_500)	Fl. Patricius 14: PLRE II 840-42
2282		/FlavianConstantinople	Flavian	ܦܠܘܝܢܣ				M	Bishop of Constantinople	bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Archbishop_Flavian_of_Constantinople	
2283		/Julian	Yulianā	ܝܘܠܝܢܘܣ	Julian the Apostate			M		bibl633-1	4	bibl633-2	26		June 363		https://en.wikipedia.org/wiki/Julian_(emperor)	Fl. Claudius Iulianus 29: PLRE I 477-78
2284		/JustinianI	Justinian I	ܝܘܣܛܝܢܝܢܐ	Mar Justinian the Patrician		ܡܪܝ ܝܘܣܛܝܢܝܢܐ ܦܛܪܝܩܝܘܣ	M	Emperor of Rome	bibl633-1	11	bibl633-2	93			mid 6th century	https://en.wikipedia.org/wiki/Justinian_I	Fl. Petrus Sabbatius Iustianus 7: PLRE II 645-48
2285		/Kaiuma	Kaiuma Bar Magartat	ܩܝܘܡܐ ܒܪ ܡܓܪܛܛ				M	Scribe of Edessa	bibl633-1	3	bibl633-2	8			November 201		
2286		/Kavad	Kavad	ܩܘܕ	Cavades			M	Shah of Persia	bibl633-1	9	bibl633-2	80			503	https://en.wikipedia.org/wiki/Kavadh_I	Cavades I: PLRE II 273-74
2287		/Leontios	Leontios	ܠܐܘܢܛܝܣ				M	Usurper of the imperial throne	bibl633-1	8	bibl633-2	72			470/1	https://en.wikipedia.org/wiki/Leontius_(usurper)	Leontius 17: PLRE II 670-71
2288		/LuciusVerus	Lucius Verus	ܠܘܩܝܣ	Lucius Caesar			M	Emperor of Rome	bibl633-1	3	bibl633-2	7			165/6	https://en.wikipedia.org/wiki/Lucius_Verus	
2289		/Macedon	Macedonios II	ܡܩܕܘܢ	Macedon	Macedonius		M	Bishop of Constantinople	bibl633-1	9	bibl633-2	77			498/9	https://en.wikipedia.org/wiki/Macedonius_II_of_Constantinople	
	1466	/MarSargis	Sargis	ܣܪܓܝܣ	Mar Sergios	Mar Sergius		M	Saint	bibl633-1	9	bibl633-2	81					
2291		/Maʿnu	Maʿnu	ܡܥܢܘ	Maano				King of Edessa	bibl633-1	1	bibl633-2	8					
2292		/Nonos	Nonā	ܢܘܢܐ	Nonnus	Nonos		M	Bishop of Edessa	bibl633-1	7	bibl633-2	64					
2293		/Nonos								bibl633-1	8	bibl633-2	71		470-1		https://en.wikipedia.org/wiki/Saint_Nonnus	
2294		/Pakidā	Pakidā 	ܦܩܝܕܐ	Mar Pakidā 			M	Bishop of Edessa	bibl633-1	6	bibl633-2	44				https://en.wikipedia.org/wiki/Pakida_of_Edessa	
2295		/Pakidā								bibl633-1	6	bibl633-2	49		August 409			
2296		/PaulBpEdessa	Pawlā	ܦܘܠܐ				M	Bishop of Edessa	bibl633-1	9	bibl633-2	82			early 6th century	https://en.wikipedia.org/wiki/Paul_of_Edessa	
2297		/Peter	Peṭrā	ܦܛܪܐ	Peter			M	Bishop of Edessa	bibl633-1	8	bibl633-2	75				https://en.wikipedia.org/wiki/Peter_of_Edessa	
2298		/Peter								bibl633-1	9	bibl633-2	82		4/10/0510			
2299		/PopeLeo	Leon	ܠܐܘܢ	Pope Leo	Leo of Rome		M	Bishop of Rome	bibl633-1	7	bibl633-2	65			448/9	https://en.wikipedia.org/wiki/Pope_Leo_I	
2300		/Rufinus13PLREII954	Rufinus	ܪܘܦܝܢܐ	Mar Rufinus the Patrician		ܡܪܝ ܪܘܦܝܢܐ ܦܛܪܝܩܝܘܣ	M	Patrician	bibl633-1	13	bibl633-2	102			September 532		Rufinus 13: PLRE II 954
2301		/SenatorPLREII990	Senator	ܣܢܛܘܪܐ				M		bibl633-1	7	bibl633-2	60			437/8		Fl. Senator 4: PLRE II 990
2302		/Severus	Severus Alexander	ܣܘܪܘܣ	Severus			M	Emperor of Rome	bibl633-1	1	bibl633-2	8				https://en.wikipedia.org/wiki/Severus_Alexander	
2303		/Shaʿad	Shaʿad	ܫܥܕ				M	Bishop of Edessa	bibl633-1	4	bibl633-2	12			312/3	https://en.wikipedia.org/wiki/Sha%27ad_of_Edessa	
2304		/Silwanā	Silwanā	ܣܠܘܢܐ	Mar Silvanus	Mar Silwano		M	Bishop of Edessa	bibl633-1	6	bibl633-2	42				https://en.wikipedia.org/wiki/Silvanus_of_Edessa	
2305		/Silwanā								bibl633-1	6	bibl633-2	43		October 398			
2306		/SophroniusTella	Sophronius of Tella	ܣܦܪܘܢܝܘܣ ܕܬܠܐ				M		bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Sophronius_of_Tella	
	? 1710?	/Stephen	Esṭapānōs	ܣܛܦܢܘܣ	Mar Stephanos	Mar Stephanus		M	Martyr	bibl633-1	6	bibl633-2	51				https://en.wikipedia.org/wiki/Saint_Stephen	
2308		/TheodosiusII	Theodosius II	ܬܐܘܕܣܝܣ				M	Emperor of Rome	bibl633-1	6	bibl633-2	51				https://en.wikipedia.org/wiki/Theodosius_II	Theodosius 6: PLRE II 1100
2309		/Valens	Valens	ܘܠܝܣ				M	Emperor of Rome	bibl633-1	5	bibl633-2	27			364	https://en.wikipedia.org/wiki/Valens	Flavius Valens 8: PLRE I 930-31
2310		/Valentinian	Valentinian I	ܘܠܢܛܝܢܣ	Valentinian the Great			M	Emperor of Rome	bibl633-1	5	bibl633-2	27			364	https://en.wikipedia.org/wiki/Valentinian_I	Flavius Valentinianus 7: PLRE I 933-34
2311		/Vitalian	Vitalian	ܒܝܛܠܝܢܐ	Bitalianā			M		bibl633-1	9	bibl633-2	85			511/2	https://en.wikipedia.org/wiki/Vitalian_(general)	Fl. Vitalianus 2: PLRE II 1171-76
2312		/Vologesh	Vālāgesh	ܘܠܓܫ	Vologesh			M	Bishop of Nisibis	bibl633-1	4	bibl633-2	24		360/1			
2313		/Yahab	Yahab Bar Shemesh	ܝܗܒ ܒܪ ܫܡܫ 				M	Scribe of Edessa	bibl633-1	3	bibl633-2	8			November 201		
